Division,District,Thana / Upazila,Thana Type,Population (Est. 2022),Area (sq km),Pop. Density (per sq km),Division Code,District Code
Dhaka,Dhaka,Adabor,City Thana,354000,9.67,36608,30,3001
Dhaka,Dhaka,Badda,City Thana,577000,11.71,49274,30,3001
Dhaka,Dhaka,Bangshal,City Thana,152000,1.37,110949,30,3001
Dhaka,Dhaka,Cantonment,City Thana,73000,42.81,1705,30,3001
Dhaka,Dhaka,Chawkbazar,City Thana,115000,0.99,116162,30,3001
Dhaka,Dhaka,Dakshinkhan,City Thana,420000,28.78,14593,30,3001
Dhaka,Dhaka,Demra,City Thana,458000,29.45,15552,30,3001
Dhaka,Dhaka,Dhanmondi,City Thana,197000,7.45,26443,30,3001
Dhaka,Dhaka,Gulshan,City Thana,195000,13.69,14244,30,3001
Dhaka,Dhaka,Hazaribagh,City Thana,203000,3.11,65273,30,3001
Dhaka,Dhaka,Jatrabari,City Thana,558000,10.43,53500,30,3001
Dhaka,Dhaka,Kafrul,City Thana,316000,5.48,57664,30,3001
Dhaka,Dhaka,Kadamtali,City Thana,323000,6.27,51515,30,3001
Dhaka,Dhaka,Kalabagan,City Thana,108000,2.49,43373,30,3001
Dhaka,Dhaka,Kamrangirchar,City Thana,370000,5.18,71429,30,3001
Dhaka,Dhaka,Khilgaon,City Thana,497000,8.34,59592,30,3001
Dhaka,Dhaka,Khilkhet,City Thana,270000,15.64,17263,30,3001
Dhaka,Dhaka,Kotwali,City Thana,117000,1.11,105405,30,3001
Dhaka,Dhaka,Lalbagh,City Thana,207000,2.23,92825,30,3001
Dhaka,Dhaka,Mirpur,City Thana,824000,25.37,32479,30,3001
Dhaka,Dhaka,Mohammadpur,City Thana,557000,16.04,34726,30,3001
Dhaka,Dhaka,Motijheel,City Thana,118000,2.53,46640,30,3001
Dhaka,Dhaka,Mugda,City Thana,287000,6.04,47517,30,3001
Dhaka,Dhaka,New Market,City Thana,110000,2.47,44534,30,3001
Dhaka,Dhaka,Pallabi,City Thana,621000,17.47,35547,30,3001
Dhaka,Dhaka,Paltan,City Thana,93000,1.51,61589,30,3001
Dhaka,Dhaka,Ramna,City Thana,157000,3.37,46588,30,3001
Dhaka,Dhaka,Rayer Bazar,City Thana,238000,9.11,26125,30,3001
Dhaka,Dhaka,Sabujbagh,City Thana,378000,8.22,45985,30,3001
Dhaka,Dhaka,Shah Ali,City Thana,299000,8.19,36508,30,3001
Dhaka,Dhaka,Shahjahanpur,City Thana,176000,3.97,44332,30,3001
Dhaka,Dhaka,Shyampur,City Thana,263000,6.83,38507,30,3001
Dhaka,Dhaka,Sutrapur,City Thana,174000,2.48,70161,30,3001
Dhaka,Dhaka,Tejgaon,City Thana,320000,7.73,41397,30,3001
Dhaka,Dhaka,Tejgaon Industrial Area,City Thana,110000,5.18,21236,30,3001
Dhaka,Dhaka,Turag,City Thana,538000,44.22,12166,30,3001
Dhaka,Dhaka,Uttara,City Thana,493000,21.54,22888,30,3001
Dhaka,Dhaka,Uttarkhan,City Thana,340000,29.52,11518,30,3001
Dhaka,Dhaka,Vatara,City Thana,259000,17.47,14825,30,3001
Dhaka,Dhaka,Wari,City Thana,125000,1.68,74405,30,3001
Dhaka,Dhaka,Dohar,Upazila,200000,189,1058,30,3001
Dhaka,Dhaka,Keraniganj,Upazila,600000,159.3,3766,30,3001
Dhaka,Dhaka,Nawabganj,Upazila,216000,162.8,1327,30,3001
Dhaka,Dhaka,Savar,Upazila,1300000,282,4610,30,3001
Dhaka,Gazipur,Gazipur Sadar,Upazila,1780000,179.7,9905,30,3002
Dhaka,Gazipur,Kaliakair,Upazila,474000,254,1866,30,3002
Dhaka,Gazipur,Kaliganj,Upazila,286000,187,1529,30,3002
Dhaka,Gazipur,Kapasia,Upazila,278000,318,874,30,3002
Dhaka,Gazipur,Sreepur,Upazila,473000,453,1044,30,3002
Dhaka,Narayanganj,Araihazar,Upazila,340000,177,1921,30,3003
Dhaka,Narayanganj,Bandar,Upazila,290000,25,11600,30,3003
Dhaka,Narayanganj,Narayanganj Sadar,Upazila,1100000,73,15068,30,3003
Dhaka,Narayanganj,Rupganj,Upazila,480000,175,2743,30,3003
Dhaka,Narayanganj,Sonargaon,Upazila,340000,180,1889,30,3003
Dhaka,Narsingdi,Belabo,Upazila,175000,119,1471,30,3004
Dhaka,Narsingdi,Monohardi,Upazila,222000,145,1531,30,3004
Dhaka,Narsingdi,Narsingdi Sadar,Upazila,370000,138,2681,30,3004
Dhaka,Narsingdi,Palash,Upazila,198000,72,2750,30,3004
Dhaka,Narsingdi,Raipura,Upazila,320000,231,1385,30,3004
Dhaka,Narsingdi,Shibpur,Upazila,248000,173,1434,30,3004
Dhaka,Manikganj,Daulatpur,Upazila,200000,233,858,30,3005
Dhaka,Manikganj,Ghior,Upazila,155000,163,951,30,3005
Dhaka,Manikganj,Harirampur,Upazila,148000,198,747,30,3005
Dhaka,Manikganj,Manikganj Sadar,Upazila,270000,180,1500,30,3005
Dhaka,Manikganj,Saturia,Upazila,190000,151,1258,30,3005
Dhaka,Manikganj,Shivalaya,Upazila,140000,150,933,30,3005
Dhaka,Manikganj,Singair,Upazila,220000,200,1100,30,3005
Dhaka,Munshiganj,Gazaria,Upazila,175000,109,1606,30,3006
Dhaka,Munshiganj,Louhajang,Upazila,189000,134,1410,30,3006
Dhaka,Munshiganj,Munshiganj Sadar,Upazila,310000,103,3010,30,3006
Dhaka,Munshiganj,Sirajdikhan,Upazila,230000,148,1554,30,3006
Dhaka,Munshiganj,Sreenagar,Upazila,240000,162,1481,30,3006
Dhaka,Munshiganj,Tongibari,Upazila,225000,136,1654,30,3006
Dhaka,Rajbari,Baliakandi,Upazila,167000,174,960,30,3007
Dhaka,Rajbari,Goalandaghat,Upazila,122000,107,1140,30,3007
Dhaka,Rajbari,Kalukhali,Upazila,131000,138,949,30,3007
Dhaka,Rajbari,Pangsha,Upazila,178000,190,937,30,3007
Dhaka,Rajbari,Rajbari Sadar,Upazila,228000,231,987,30,3007
Dhaka,Shariatpur,Bhedarganj,Upazila,218000,175,1246,30,3008
Dhaka,Shariatpur,Damudya,Upazila,142000,87,1632,30,3008
Dhaka,Shariatpur,Gosairhat,Upazila,158000,186,849,30,3008
Dhaka,Shariatpur,Naria,Upazila,201000,211,953,30,3008
Dhaka,Shariatpur,Shariatpur Sadar,Upazila,218000,121,1802,30,3008
Dhaka,Shariatpur,Zanjira,Upazila,163000,122,1336,30,3008
Dhaka,Faridpur,Alfadanga,Upazila,136000,155,877,30,3009
Dhaka,Faridpur,Bhanga,Upazila,199000,246,809,30,3009
Dhaka,Faridpur,Boalmari,Upazila,215000,195,1103,30,3009
Dhaka,Faridpur,Charbhadrasan,Upazila,118000,119,992,30,3009
Dhaka,Faridpur,Faridpur Sadar,Upazila,382000,297,1286,30,3009
Dhaka,Faridpur,Madhukhali,Upazila,167000,202,827,30,3009
Dhaka,Faridpur,Nagarkanda,Upazila,144000,149,966,30,3009
Dhaka,Faridpur,Sadarpur,Upazila,163000,155,1052,30,3009
Dhaka,Faridpur,Saltha,Upazila,110000,122,902,30,3009
Dhaka,Gopalganj,Gopalganj Sadar,Upazila,265000,367,722,30,3010
Dhaka,Gopalganj,Kashiani,Upazila,218000,272,801,30,3010
Dhaka,Gopalganj,Kotalipara,Upazila,265000,342,775,30,3010
Dhaka,Gopalganj,Muksudpur,Upazila,245000,319,768,30,3010
Dhaka,Gopalganj,Tungipara,Upazila,109000,132,826,30,3010
Dhaka,Madaripur,Kalkini,Upazila,221000,268,825,30,3011
